exp_id,gps_eps_m,gps_min_samples,embed_name,sim_th,knn_k,geo_max_features,geo_ratio,geo_ransac_thresh,geo_min_matches,geo_score_th,n_photos,n_gps_clusters,n_scene_clusters,time_gps_dbscan,time_embedding_geo,silhouette,davies_bouldin,ARI,NMI
exp_000_APGeM_eps10.0_geo0.2,10.0,3,APGeM,0.7,10,1500,0.7,4.0,10,0.2,23,2,18,0.004466540878638625,5.128702250076458,0.0644768700003624,0.42606536263637446,0.0301558906210069,0.7209146840393921
exp_001_APGeM_eps10.0_geo0.25,10.0,3,APGeM,0.7,10,1000,0.72,4.0,10,0.25,23,2,18,0.0005618331488221884,5.056271082954481,0.0644768700003624,0.42606536263637446,0.0301558906210069,0.7209146840393921
exp_002_CLIP_eps10.0_geo0.2,10.0,3,CLIP,0.65,10,1500,0.7,4.0,10,0.2,23,2,5,0.0005519590340554714,61.11259354185313,0.26376357674598694,1.1196340808694896,0.16672078675140325,0.559096672427794
exp_003_CLIP_eps10.0_geo0.25,10.0,3,CLIP,0.65,10,1000,0.72,4.0,10,0.25,23,2,7,0.0008292919956147671,60.1585516249761,0.2054811269044876,0.8568227289344551,0.15505725190839695,0.5835642901979206
exp_004_APGeM+CLIP_eps10.0_geo0.2,10.0,3,APGeM+CLIP,0.7,10,1500,0.7,4.0,10,0.2,23,2,18,0.003577624913305044,8.469572332920507,0.06858079135417938,0.4245101393458781,0.0301558906210069,0.7209146840393921
exp_005_APGeM+CLIP_eps10.0_geo0.25,10.0,3,APGeM+CLIP,0.7,10,1000,0.72,4.0,10,0.25,23,2,18,0.0008868339937180281,8.44270904106088,0.06858079135417938,0.4245101393458781,0.0301558906210069,0.7209146840393921
