exp_id,gps_eps_m,gps_min_samples,embed_name,sim_th,knn_k,geo_max_features,geo_ratio,geo_ransac_thresh,geo_min_matches,geo_score_th,n_photos,n_gps_clusters,n_scene_clusters,time_gps_dbscan,time_embedding_geo,silhouette,davies_bouldin,ARI,NMI
exp_000_APGeM+CLIP_eps5.0_geo0.3,5.0,3,APGeM+CLIP,0.84,10,1500,0.65,3.0,10,0.3,23,2,10,0.001603791955858469,24.72537395893596,0.12744095921516418,0.7979225555497156,0.19695286462466274,0.6786791310251606
exp_001_APGeM+CLIP_eps5.0_geo0.3,5.0,3,APGeM+CLIP,0.88,10,1500,0.65,3.0,10,0.3,23,2,14,0.0006838750559836626,7.433661833172664,0.10802029073238373,0.4146049648255218,0.15725806451612903,0.71023954555045
exp_002_APGeM+CLIP_eps5.0_geo0.3,5.0,3,APGeM+CLIP,0.88,5,1500,0.65,3.0,10,0.3,23,2,14,0.0005927090533077717,7.858774374937639,0.10802029073238373,0.4146049648255218,0.15725806451612903,0.71023954555045
